descricao
"** Aprovado o Requerimento do Dep. Daniel Coelho (PSDB-PE), que solicita preferência para apreciação do PL nº 7.699/2006, item 3, sobre os demais itens da pauta."
"** Aprovado o Requerimento do Dep. Jovair Arantes, Líder do PTB, que solicita preferência para apreciação do Projeto de Lei nº 4.246/2012, item 6, sobre os demais itens da pauta."
"** Aprovado o Requerimento do Dep. Paulo Teixeira, na qualidade de Líder do Governo, que solicita preferência para apreciação da ordem do dia na seguinte sequência: 1º) PL nº 6.459 de 2013; 2º) PL nº 1.805 de 2015; 3º) PL nº 3.490 de 2012; 4º) PLP nº 163 de 2015; 5º) PL nº 466 de 2015; 6º) PL nº 3.561 de 2015; 7º) PRC nº 109 de 2015; 8º) PL nº 1.428 de 1999; 9) PRC nº 8 de 2007; seguidos dos demais itens."
"** Aprovado o Requerimento do Dep. Paulo Teixeira, na qualidade de Líder do Governo, que solicita preferência para apreciação da ordem do dia na seguinte sequência: 1º) PL nº 6.459 de 2013; 2º) PL nº 1.805 de 2015; 3º) PL nº 3.490 de 2012; 4º) PLP nº 163 de 2015; 5º) PL nº 466 de 2015; 6º) PL nº 3.561 de 2015; 7º) PRC nº 109 de 2015; 8º) PL nº 1.428 de 1999; 9º) PRC nº 8 de 2007; seguidos dos demais itens."
** Aprovado o Requerimento.
"** Rejeitado o Requerimento do Dep. Ságuas Moraes, na qualidade de Líder do PT, que solicita inversão da pauta, para que o Projeto de Lei nº 2.479/2000 seja votado primeiramente, renumerando-se os demais itens da pauta."
"*** Aprovado o Requerimento do Dep. Onyx Lorenzoni, na qualidade de Líder  do DEM, que solicita preferência para apreciação do PDC nº 84 de 2015 sobre os demais itens da pauta."
"*** Aprovado o Requerimento do Dep. Onyx Lorenzoni, na qualidade de Líder do DEM, que solicita preferência para apreciação do PDC nº 84 de 2015 sobre os demais itens da pauta."
*** Aprovado o Requerimento do Dep. Simão Sessim (PP-RJ) que solicita preferência para apreciação do PL nº 7.664/2014 sobre os demais itens da pauta.
"*** Rejeitada a modificação na Ordem do Dia decorrente de consulta formulada pelo Presidente, nos termos do § 1º do art. 160 do Regimento Interno, em face do encaminhamento, à Mesa, de mais de cinco requerimentos de preferência."
"*** Votação, em turno único, do Projeto de Lei nº 3.232 de 1992, principal (Sessão Deliberativa Ordinária de 20/10/2015). 
Encaminhou a Votação o Dep. Afonso Florence (PT-BA). 
Votação do requerimento da bancada do PR, que solicita DESTAQUE DE PREFERÊNCIA PARA O PROJETO DE LEI Nº 6.446/2013, APENSADO - DTQ 3. 
APROVADO O DESTAQUE DE PREFERÊNCIA. 
Prejudicado o destaque de preferência da bancada do PCdoB, para votação do Projeto de Lei nº 6.446/2013, apensado - DTQ 4. 
Rejeitadas as Emendas de Plenário nºs 1 e 2, com pareceres pela rejeição, ressalvados os destaques. 
Em razão do resultado proclamado pela Mesa: ""Aprovado o Projeto de Lei nº 6.446 de 2013"" (em processo simbólico), foi solicitada a verificação da votação pelos Deputados Daniel Coelho, na qualidade de Líder do PSDB; e Alex Manente (PPS-SP), passando-se à sua votação pelo processo nominal. 
APROVADO O PROJETO DE LEI Nº 6.446 DE 2013, APENSADO, ressalvados os destaques. Sim: 318; não: 79; abstenção: 1; total: 398.  
Ficam prejudicados o Projeto de Lei nº 3.232/1992, principal; o Substitutivo da Comissão de Seguridade Social e Família; o Substitutivo da Comissão de Constituição e Justiça e de Cidadania; e os Projetos de Lei de nºs 6.045/90, 192/91, 276/91, 506/91, 750/91, 1.439/91, 1.539/91, 2.065/91, 2.735/92, 2.741/92, 3.779/97, 4.667/98, 592/99, 2.937/00, 3.562/04. 5.322/09, 1.112/11, 1.744/11, 2.270/11, 2.450/11, 3.406/12, 3.523/12 e 7.175/14, apensados, ressalvados os destaques. 
Votação do § 3º do art. 5º do Projeto de Lei nº 6.446/2013, apensado, objeto do destaque para votação em separado da bancada do Bloco PP,PROS (bloco conforme data da apresentação do destaque) - DTQ 1. 
Encaminharam a Votação: Dep. Wadih Damous (PT-RJ) e Dep. Damião Feliciano (PDT-PB). 
Suprimido o texto destacado. 
Prejudicado o destaque da bancada do PSDB, para votação em separado do § 3º do art. 5º do Projeto de Lei nº 6.446/2013, apensado - DTQ 5. 
Prejudicado o destaque da bancada do DEM, para votação em separado do § 3º do art. 5º do Projeto de Lei nº 6.446/2013, apensado - DTQ 9. 
Votação da Emenda de Plenário nº 2, objeto do destaque da bancada do PSD - DTQ 10. 
Encaminhou a Votação o Dep. Wadih Damous (PT-RJ). 
Rejeitada a Emenda de Plenário nº 2. 
Votação da Emenda de Plenário nº 1, objeto do destaque da bancada do Bloco PP,PROS (bloco conforme data da apresentação do destaque) - DTQ 2. 
Encaminharam a Votação: Dep. Wadih Damous (PT-RJ) e Dep. Pompeo de Mattos (PDT-RS). 
Rejeitada a Emenda de Plenário nº 1. Sim: 206; não: 219; abstenção: 1; total: 426 (votação nominal, de ofício)
Prejudicado o destaque da bancada do DEM, para votação da Emenda de Plenário nº 1 - DTQ 7. 
Votação da expressão ""em juízo colegiado prévio"" constante do art. 10 do Projeto de Lei nº 6.446/2013, apensado, objeto do destaque para votação em separado da bancada do PSDB - DTQ 6. 
Em razão do resultado proclamado pela Mesa: ""Mantida a expressão"" (em processo simbólico), foi solicitada a verificação da votação pelo Deputado Daniel Coelho, na qualidade de Líder do PSDB, passando-se à sua votação pelo processo nominal.
Mantida a expressão destacada. Sim: 273; não: 145; abstenção: 1; total: 419.
Votação do art. 2º do Projeto de Lei nº 7.175/2014, apensado, para incluir o referido dispositivo onde couber, objeto do destaque para votação em separado da bancada do PSB - DTQ 8. 
Encaminhou a Votação o Dep. Heitor Schuch (PSB-RS). 
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 109/2007 => PL 1333/1995.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 1256/2007 => PL 552/2007.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 1322/2007 => PL 939/2007.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 1323/2007 => PL 940/2007.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 142/2007 => PL 84/2007.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 1734/2004 => PL 2681/2003.
"Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 1818/2004 => PL 3476/2004.
DCD 13 05 04 pág 21784 col 02."
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 2019/2007 => PL 284/2007.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 2021/2004 => PL 3443/2004.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 2022/2004 => PL 3585/2004.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 206/2007 => PL 7227/2006.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 2070/2004 => PL 3962/2004.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 2099/2007 => PL 2513/2007.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 2379/2004 => PL 6817/2002.
"Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 2393/2004 => PL 4428/2004.
DCD 08 02 06 PÁG 6995 COL 01."
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 2487/2005 => PL 955/2003.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 2567/2005 => PL 1683/2003.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 2586/2008 => PL 4915/2005.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 2622/2008 => PL 4622/2004.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 2642/2005 => PL 4651/2004.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 2652/2005 => PL 4873/2005.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 2682/2005 => PL 4955/2005.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 2742/2005 => PL 5030/2005.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 2748/2005 => PL 4852/2005.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 2822/2008 => PL 3118/2008.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 2931/2008 => PL 1746/2007.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3005/2005 => PL 3248/2004.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3013/2005 => PL 4692/2004.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3050/2005 => PL 4776/2005.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3052/2005 => PL 4142/2004.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3078/2008 => PL 370/2007.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 322/2007 => PL 1383/2003.
"Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3236/2008 => PL 1167/2007.
DCD de 06/11/08 PÁG 49634 COL 01."
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3242/2008 => PL 3775/2008.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3291/2005 => PL 4559/2004.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3342/2005 => PL 6031/2005.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3387/2005 => PL 4896/2005.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3480/2005 => PL 6276/2005.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3510/2005 => PL 1410/2003.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3553/2006 => PL 6272/2005.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3563/2006 => PL 6448/2005.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3619/2006 => PL 5855/2005.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3642/2006 => PL 6370/2005.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3681/2006 => PL 6585/2006.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3723/2006 => PL 5318/2005.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3763/2006 => PL 6612/2006.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3764/2006 => PL 5819/2005.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 3785/2006 => PL 5049/2005.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 4367/2006 => PL 7486/2006.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 4404/2006 => PL 7561/2006.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 4421/2006 => PL 7193/2006.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 4632/2012 => PL 6721/2010.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 4674/2009 => PL 687/1995.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 4677/2009 => PL 451/1995.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 4860/2009 => PL 1627/2007.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 4995/2009 => PL 4667/2009.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 5063/2012 => PL 2458/2011.
"Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 5080/2012 => PL 3299/2008.
DCD 26/04/12 PAG 13974 COL 01."
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 5846/2009 => PL 6015/2005.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 6028/2009 => PL 5883/2009.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 6449/2010 => PL 2295/2000.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 671/2007 => PL 528/2007.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 885/2011 => PL 7824/2010.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1002/2022.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1005/2024.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 10104/2014 => PL 7469/2014.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 10280/2014 => PL 1162/2007.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1034/2022.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1043/2024.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 10439/2014 => PL 757/2011.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 10481/2014 => PL 7657/2014.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 10521/2014 => PL 7724/2014.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 10621/2014 => PL 6433/2013.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 10697/2014 => PL 7722/2014.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 10698/2014 => PL 7897/2014.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 10731/2014 => PL 7891/2014.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 10740/2014 => PL 7884/2014.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 10897/2014 => PL 7924/2014.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 10903/2014 => PL 1462/2007.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1117/2015 => PL 8122/2014.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1119/2022.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1120/2015 => PL 789/2007.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1126/2022.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1139/2023.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1143/2015 => PL 6459/2013.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1143/2023.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1150/2021.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1156/2020.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1164/2015 => PL 5369/2009.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1179/2022.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1200/2020.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1211/2022.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1224/2015 => PL 730/2015.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1227/2020.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1251/2024.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1254/2020.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 126/2022.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1284/2022.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1315/2023.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1318/2021.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1364/2023.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1400/2021.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1401/2020.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1436/2021.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1464/2021.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1470/2024.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1471/2020.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1495/2024.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1497/2021.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1500/2022.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1528/2024.
