"idGrupo";"uriGrupo";"nomeGrupo";"anoCriacao";"projetoTitulo";"projetoUri";"resolucaoTitulo";"resolucaoUri";"subvencionado";"grupoMisto";"ativo";"observacao";"ultimoStatus_idLegislatura";"ultimoStatus_dataStatus";"ultimoStatus_presidenteNome";"ultimoStatus_presidenteUri";"ultimoStatus_documento";"ultimoStatus_oficioTitulo";"ultimoStatus_oficioUri";"ultimoStatus_oficioAutorTipo";"ultimoStatus_oficioAutorNome";"ultimoStatus_oficioAutorUri";"ultimoStatus_oficioDataApresentacao";"ultimoStatus_oficioDataPublicacao"
"15";"https://dadosabertos.camara.leg.br/api/v2/grupos/15";"Brasil/Bolívia";"1993";"213/1989";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/237166";"28/1993";"";"0";"1";"1";"";"57";"2023-02-02T00:00:00";"ROBERTO DUARTE";"https://dadosabertos.camara.leg.br/api/v2/deputados/220588";"231/2023";"";"";"Deputado(a)";"Roberto Duarte";"https://dadosabertos.camara.leg.br/api/v2/deputados/220588";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"16";"https://dadosabertos.camara.leg.br/api/v2/grupos/16";"Brasil/BRICS";"2015";"6/2015";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/946224";"5/2015";"";"0";"1";"1";"";"57";"2023-07-06T00:00:00";"ANDRÉ FIGUEIREDO";"https://dadosabertos.camara.leg.br/api/v2/deputados/133439";"276/2023";"2/2023";"";"Deputado(a)";"Félix Mendonça Júnior";"https://dadosabertos.camara.leg.br/api/v2/deputados/160666";"2023-02-02T00:00:00";"2023-02-07T00:00:00"
"18";"https://dadosabertos.camara.leg.br/api/v2/grupos/18";"Brasil/Cabo Verde";"1999";"187/1998";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/236995";"2/1999";"";"0";"1";"1";"";"57";"2023-02-03T00:00:00";"MÁRCIO MARINHO";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"288/2023";"";"";"Deputado(a)";"Márcio Marinho";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"2023-02-03T00:00:00";"2023-02-07T00:00:00"
"20";"https://dadosabertos.camara.leg.br/api/v2/grupos/20";"Brasil/Canadá";"1993";"237/1990";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/237273";"31/1993";"";"0";"1";"1";"";"57";"2023-02-02T00:00:00";"MARIA ROSAS";"https://dadosabertos.camara.leg.br/api/v2/deputados/204540";"227/2023";"";"";"Deputado(a)";"Maria Rosas";"https://dadosabertos.camara.leg.br/api/v2/deputados/204540";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"103";"https://dadosabertos.camara.leg.br/api/v2/grupos/103";"Brasil/Cazaquistão";"2017";"218/2017";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2126114";"26/2017";"";"0";"0";"1";"";"57";"2023-02-02T00:00:00";"CLAUDIO CAJADO";"https://dadosabertos.camara.leg.br/api/v2/deputados/74537";"287/2023";"4/2023";"";"Deputado(a)";"Claudio Cajado";"https://dadosabertos.camara.leg.br/api/v2/deputados/74537";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"22";"https://dadosabertos.camara.leg.br/api/v2/grupos/22";"Brasil/Chile";"1991";"238/1990";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/237277";"18/1991";"";"0";"1";"1";"";"57";"2023-02-07T00:00:00";"FÉLIX MENDONÇA JÚNIOR";"https://dadosabertos.camara.leg.br/api/v2/deputados/160666";"277/2023";"3/2023";"";"Deputado(a)";"Félix Mendonça Júnior";"https://dadosabertos.camara.leg.br/api/v2/deputados/160666";"2023-02-07T00:00:00";"2023-02-07T00:00:00"
"23";"https://dadosabertos.camara.leg.br/api/v2/grupos/23";"Brasil/China";"1993";"158/1993";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/236742";"47/1993";"";"0";"1";"1";"";"57";"2023-02-02T00:00:00";"DANIEL ALMEIDA";"https://dadosabertos.camara.leg.br/api/v2/deputados/74060";"297/2023";"1/2023";"";"Deputado(a)";"Daniel Almeida";"https://dadosabertos.camara.leg.br/api/v2/deputados/74060";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"25";"https://dadosabertos.camara.leg.br/api/v2/grupos/25";"Brasil/Colômbia";"2012";"121/2008";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/387424";"17/2012";"";"0";"1";"1";"";"57";"2024-11-13T00:00:00";"ROGÉRIA SANTOS";"https://dadosabertos.camara.leg.br/api/v2/deputados/220695";"254/2024";"";"";"Deputado(a)";"Rogéria Santos";"https://dadosabertos.camara.leg.br/api/v2/deputados/220695";"2024-04-02T00:00:00";"2024-11-13T00:00:00"
"26";"https://dadosabertos.camara.leg.br/api/v2/grupos/26";"Brasil/Coréia do Sul";"";"";"";"";"";"0";"1";"1";"Grupo criado por Publicação no Diário do Congresso Nacional (DCN 15/08/1979). Não há Resolução.";"57";"2023-02-02T00:00:00";"MARIA ROSAS";"https://dadosabertos.camara.leg.br/api/v2/deputados/204540";"286/2023";"";"";"Deputado(a)";"Maria Rosas";"https://dadosabertos.camara.leg.br/api/v2/deputados/204540";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"28";"https://dadosabertos.camara.leg.br/api/v2/grupos/28";"Brasil/Croácia";"2003";"54/2003";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/";"8/2003";"";"0";"1";"1";"";"57";"2023-02-02T00:00:00";"FÉLIX MENDONÇA JÚNIOR";"https://dadosabertos.camara.leg.br/api/v2/deputados/160666";"240/2023";"4/2023";"";"Deputado(a)";"Félix Mendonça Júnior";"https://dadosabertos.camara.leg.br/api/v2/deputados/160666";"2023-02-02T00:00:00";"2023-02-07T00:00:00"
"29";"https://dadosabertos.camara.leg.br/api/v2/grupos/29";"Brasil/Cuba";"1989";"73/1989";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/235853";"15/1989";"";"0";"1";"1";"Há também a Resolução 18/2000 (PRC 60/2000).";"57";"2023-06-14T00:00:00";"ALICE PORTUGAL";"https://dadosabertos.camara.leg.br/api/v2/deputados/74057";"1110/2023";"3/2023";"";"Deputado(a)";"Alice Portugal";"https://dadosabertos.camara.leg.br/api/v2/deputados/74057";"2023-03-23T00:00:00";"2023-06-14T00:00:00"
"31";"https://dadosabertos.camara.leg.br/api/v2/grupos/31";"Brasil/Emirados Árabes";"2008";"108/2007";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/380998";"6/2008";"";"0";"1";"1";"";"57";"2023-02-02T00:00:00";"CELSO RUSSOMANNO";"https://dadosabertos.camara.leg.br/api/v2/deputados/73441";"316/2023";"";"";"Deputado(a)";"Celso Russomanno";"https://dadosabertos.camara.leg.br/api/v2/deputados/73441";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"32";"https://dadosabertos.camara.leg.br/api/v2/grupos/32";"Brasil/Equador";"2013";"77/2011";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/517900";"35/2013";"";"0";"0";"1";"";"57";"2023-07-07T00:00:00";"ARLINDO CHINAGLIA";"https://dadosabertos.camara.leg.br/api/v2/deputados/73433";"2715/2023";"11/2023";"";"Deputado(a)";"Arlindo Chinaglia";"https://dadosabertos.camara.leg.br/api/v2/deputados/73433";"2023-05-16T00:00:00";"2023-07-07T00:00:00"
"106";"https://dadosabertos.camara.leg.br/api/v2/grupos/106";"Brasil/Eslovênia";"2019";"185/2016";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2118904";"2/2019";"";"0";"1";"1";"";"57";"2024-11-11T00:00:00";"FERNANDO MONTEIRO";"https://dadosabertos.camara.leg.br/api/v2/deputados/92699";"2545/2024";"112/2024";"";"Deputado(a)";"Fernando Monteiro";"https://dadosabertos.camara.leg.br/api/v2/deputados/92699";"2024-06-27T00:00:00";"2024-11-11T00:00:00"
"33";"https://dadosabertos.camara.leg.br/api/v2/grupos/33";"Brasil/Espanha";"1998";"14/1998";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/";"25/1998";"";"0";"1";"1";"A Resolução é do Senado Federal.";"57";"2023-06-12T00:00:00";"PEDRO LUPION";"https://dadosabertos.camara.leg.br/api/v2/deputados/204395";"680/2023";"15/2023";"";"Deputado(a)";"Lucio Mosquini";"https://dadosabertos.camara.leg.br/api/v2/deputados/178954";"2023-03-14T00:00:00";"2023-03-21T00:00:00"
"34";"https://dadosabertos.camara.leg.br/api/v2/grupos/34";"Brasil/Estados Unidos";"1990";"225/1990";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/237223";"29/1990";"";"0";"1";"1";"";"57";"2023-02-02T00:00:00";"ROSANGELA GOMES";"https://dadosabertos.camara.leg.br/api/v2/deputados/178945";"326/2023";"";"";"Deputado(a)";"Rosangela Gomes";"https://dadosabertos.camara.leg.br/api/v2/deputados/178945";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"35";"https://dadosabertos.camara.leg.br/api/v2/grupos/35";"Brasil/Finlândia";"2003";"81/2003";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/";"10/2003";"";"0";"1";"1";"";"57";"2023-10-18T00:00:00";"RODRIGO VALADARES";"https://dadosabertos.camara.leg.br/api/v2/deputados/165470";"3141/2023";"1/2023";"";"Deputado(a)";"Rodrigo Valadares";"https://dadosabertos.camara.leg.br/api/v2/deputados/165470";"2023-06-21T00:00:00";"2023-10-18T00:00:00"
"36";"https://dadosabertos.camara.leg.br/api/v2/grupos/36";"Brasil/França";"1990";"211/1989";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/237156";"27/1990";"";"0";"1";"1";"";"57";"2023-02-02T00:00:00";"VINICIUS CARVALHO";"https://dadosabertos.camara.leg.br/api/v2/deputados/141555";"237/2023";"";"";"Deputado(a)";"Vinicius Carvalho";"https://dadosabertos.camara.leg.br/api/v2/deputados/141555";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"108";"https://dadosabertos.camara.leg.br/api/v2/grupos/108";"Brasil/Geórgia";"2019";"219/2017";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2126115";"7/2019";"";"0";"0";"1";"";"57";"2023-02-02T00:00:00";"CLAUDIO CAJADO";"https://dadosabertos.camara.leg.br/api/v2/deputados/74537";"325/2023";"3/2023";"";"Deputado(a)";"Claudio Cajado";"https://dadosabertos.camara.leg.br/api/v2/deputados/74537";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"37";"https://dadosabertos.camara.leg.br/api/v2/grupos/37";"Brasil/Grécia";"2004";"228/2002";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/46143";"19/2004";"";"0";"1";"1";"";"57";"2023-07-07T00:00:00";"THIAGO DE JOALDO";"https://dadosabertos.camara.leg.br/api/v2/deputados/220560";"2148/2023";"15/2023";"";"Deputado(a)";"Thiago de Joaldo";"https://dadosabertos.camara.leg.br/api/v2/deputados/220560";"2023-05-03T00:00:00";"2023-07-07T00:00:00"
"38";"https://dadosabertos.camara.leg.br/api/v2/grupos/38";"Brasil/Guiana";"1991";"240/1990";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/237285";"14/1991";"";"0";"0";"1";"";"57";"2023-03-14T00:00:00";"ALBUQUERQUE";"https://dadosabertos.camara.leg.br/api/v2/deputados/220538";"827/2023";"1/2023";"";"Deputado(a)";"Albuquerque";"https://dadosabertos.camara.leg.br/api/v2/deputados/220538";"2023-03-14T00:00:00";"2023-03-23T00:00:00"
"39";"https://dadosabertos.camara.leg.br/api/v2/grupos/39";"Brasil/Hungria";"1996";"92/1996";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/236071";"12/1996";"";"0";"0";"1";"";"57";"2024-02-21T00:00:00";"ALFREDO GASPAR";"https://dadosabertos.camara.leg.br/api/v2/deputados/220576";"5546/2023";"543/2023";"";"Deputado(a)";"Alfredo Gaspar";"https://dadosabertos.camara.leg.br/api/v2/deputados/220576";"2023-10-30T00:00:00";"2024-02-21T00:00:00"
"40";"https://dadosabertos.camara.leg.br/api/v2/grupos/40";"Brasil/Índia";"1997";"129/1997";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/236472";"18/1997";"";"0";"0";"1";"";"57";"2023-02-02T00:00:00";"VINICIUS CARVALHO";"https://dadosabertos.camara.leg.br/api/v2/deputados/141555";"229/2023";"";"";"Deputado(a)";"Vinicius Carvalho";"https://dadosabertos.camara.leg.br/api/v2/deputados/141555";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"41";"https://dadosabertos.camara.leg.br/api/v2/grupos/41";"Brasil/Indonésia";"1997";"127/1997";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/236451";"20/1997";"";"0";"0";"1";"";"57";"2023-02-02T00:00:00";"DAVID SOARES";"https://dadosabertos.camara.leg.br/api/v2/deputados/204511";"322/2023";"";"";"Deputado(a)";"David Soares";"https://dadosabertos.camara.leg.br/api/v2/deputados/204511";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"44";"https://dadosabertos.camara.leg.br/api/v2/grupos/44";"Brasil/Israel";"1989";"81/1989";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/235943";"16/1989";"";"0";"1";"1";"";"57";"2023-02-02T00:00:00";"GILBERTO ABRAMO";"https://dadosabertos.camara.leg.br/api/v2/deputados/204491";"321/2023";"";"";"Deputado(a)";"Gilberto Abramo";"https://dadosabertos.camara.leg.br/api/v2/deputados/204491";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"45";"https://dadosabertos.camara.leg.br/api/v2/grupos/45";"Brasil/Itália";"1979";"79/1979";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/235918";"55/1979";"";"0";"1";"1";"";"57";"2023-06-07T00:00:00";"EROS BIONDINI";"https://dadosabertos.camara.leg.br/api/v2/deputados/160640";"320/2023";"1/2023";"";"Deputado(a)";"Julia Zanatta";"https://dadosabertos.camara.leg.br/api/v2/deputados/220559";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"48";"https://dadosabertos.camara.leg.br/api/v2/grupos/48";"Brasil/Japão";"1994";"9/1991";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/234939";"71/1994";"";"0";"1";"1";"";"57";"2023-03-06T00:00:00";"LUIZ NISHIMORI";"https://dadosabertos.camara.leg.br/api/v2/deputados/162332";"546/2023";"1/2023";"";"Deputado(a)";"Luiz Nishimori";"https://dadosabertos.camara.leg.br/api/v2/deputados/162332";"2023-03-06T00:00:00";"2023-03-06T00:00:00"
"91";"https://dadosabertos.camara.leg.br/api/v2/grupos/91";"Brasil/Jordânia";"2015";"267/2014";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/858708";"6/2015";"";"0";"1";"1";"";"57";"2023-07-07T00:00:00";"CELSO SABINO";"https://dadosabertos.camara.leg.br/api/v2/deputados/204496";"3227/2023";"81/2023";"";"Deputado(a)";"David Soares";"https://dadosabertos.camara.leg.br/api/v2/deputados/204511";"2023-05-17T00:00:00";"2023-07-07T00:00:00"
"54";"https://dadosabertos.camara.leg.br/api/v2/grupos/54";"Brasil/Letônia e Estônia";"2013";"129/2012";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/542499";"38/2013";"";"0";"0";"1";"";"57";"2023-07-07T00:00:00";"JULIO LOPES";"https://dadosabertos.camara.leg.br/api/v2/deputados/74253";"2829/2023";"146/2023";"";"Deputado(a)";"Julio Lopes";"https://dadosabertos.camara.leg.br/api/v2/deputados/74253";"2023-05-23T00:00:00";"2023-07-07T00:00:00"
"46";"https://dadosabertos.camara.leg.br/api/v2/grupos/46";"Brasil/Líbano";"1979";"44/1979";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/235471";"30/1979";"";"0";"1";"1";"";"57";"2023-07-07T00:00:00";"ARLINDO CHINAGLIA";"https://dadosabertos.camara.leg.br/api/v2/deputados/73433";"2719/2023";"13/2023";"";"Deputado(a)";"Arlindo Chinaglia";"https://dadosabertos.camara.leg.br/api/v2/deputados/73433";"2023-05-16T00:00:00";"2023-07-07T00:00:00"
"50";"https://dadosabertos.camara.leg.br/api/v2/grupos/50";"Brasil/Malásia";"2013";"203/2013";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/582791";"42/2013";"";"0";"0";"1";"";"57";"2023-02-02T00:00:00";"CLAUDIO CAJADO";"https://dadosabertos.camara.leg.br/api/v2/deputados/74537";"319/2023";"5/2023";"";"Deputado(a)";"Claudio Cajado";"https://dadosabertos.camara.leg.br/api/v2/deputados/74537";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"51";"https://dadosabertos.camara.leg.br/api/v2/grupos/51";"Brasil/Marrocos";"1993";"129/1992";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/236471";"36/1993";"";"0";"1";"1";"";"57";"2023-02-15T00:00:00";"TIÃO MEDEIROS";"https://dadosabertos.camara.leg.br/api/v2/deputados/220684";"529/2023";"";"";"Deputado(a)";"Tião Medeiros";"https://dadosabertos.camara.leg.br/api/v2/deputados/220684";"2023-02-15T00:00:00";"2023-02-15T00:00:00"
"53";"https://dadosabertos.camara.leg.br/api/v2/grupos/53";"Brasil/México";"1991";"26/1991";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/235199";"9/1991";"";"0";"1";"1";"";"57";"2023-02-02T00:00:00";"ROSANGELA GOMES";"https://dadosabertos.camara.leg.br/api/v2/deputados/178945";"230/2023";"";"";"Deputado(a)";"Rosangela Gomes";"https://dadosabertos.camara.leg.br/api/v2/deputados/178945";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"55";"https://dadosabertos.camara.leg.br/api/v2/grupos/55";"Brasil/Moçambique";"2008";"282/2006";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/313071";"5/2008";"";"0";"1";"1";"";"57";"2023-02-02T00:00:00";"MÁRCIO MARINHO";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"234/2023";"";"";"Deputado(a)";"Márcio Marinho";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"107";"https://dadosabertos.camara.leg.br/api/v2/grupos/107";"Brasil/Namíbia";"2019";"27/2019";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2191746";"3/2019";"";"0";"1";"1";"";"57";"2023-02-02T00:00:00";"JORGE BRAZ";"https://dadosabertos.camara.leg.br/api/v2/deputados/205550";"232/2023";"";"";"Deputado(a)";"Jorge Braz";"https://dadosabertos.camara.leg.br/api/v2/deputados/205550";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"60";"https://dadosabertos.camara.leg.br/api/v2/grupos/60";"Brasil/Nova Zelândia";"2003";"205/2001";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/36880";"2/2003";"";"0";"1";"1";"";"57";"2023-03-22T00:00:00";"JÚLIO CESAR";"https://dadosabertos.camara.leg.br/api/v2/deputados/74317";"1108/2023";"5/2023";"";"Deputado(a)";"Júlio Cesar";"https://dadosabertos.camara.leg.br/api/v2/deputados/74317";"2023-03-22T00:00:00";"2023-04-03T00:00:00"
"109";"https://dadosabertos.camara.leg.br/api/v2/grupos/109";"Brasil/OCDE";"2019";"47/2019";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2195661";"8/2019";"";"0";"1";"1";"Brasil/Organização para a Cooperação e Desenvolvimento Econômico (OCDE)";"57";"2023-02-02T00:00:00";"EDUARDO BISMARCK";"https://dadosabertos.camara.leg.br/api/v2/deputados/204541";"300/2023";"";"";"Deputado(a)";"Eduardo Bismarck";"https://dadosabertos.camara.leg.br/api/v2/deputados/204541";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"61";"https://dadosabertos.camara.leg.br/api/v2/grupos/61";"Brasil/Países Árabes";"2008";"54/2007";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/352445";"4/2008";"";"0";"1";"1";"";"57";"2023-02-02T00:00:00";"DAVID SOARES";"https://dadosabertos.camara.leg.br/api/v2/deputados/204511";"316/2023";"";"";"Deputado(a)";"David Soares";"https://dadosabertos.camara.leg.br/api/v2/deputados/204511";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"63";"https://dadosabertos.camara.leg.br/api/v2/grupos/63";"Brasil/Países Caribenhos";"2012";"25/2011";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/493404";"10/2012";"";"0";"1";"1";"";"57";"2023-02-07T00:00:00";"JORGE BRAZ";"https://dadosabertos.camara.leg.br/api/v2/deputados/205550";"317/2023";"";"";"Deputado(a)";"Jorge Braz";"https://dadosabertos.camara.leg.br/api/v2/deputados/205550";"2023-02-07T00:00:00";"2023-02-07T00:00:00"
"57";"https://dadosabertos.camara.leg.br/api/v2/grupos/57";"Brasil/Paraguai";"2006";"134/1997";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/21788";"41/2006";"";"0";"0";"1";"";"57";"2023-02-10T00:00:00";"ARLINDO CHINAGLIA";"https://dadosabertos.camara.leg.br/api/v2/deputados/73433";"392/2023";"";"";"Deputado(a)";"Arlindo Chinaglia";"https://dadosabertos.camara.leg.br/api/v2/deputados/73433";"2023-02-10T00:00:00";"2023-02-10T00:00:00"
